"Id","Code","Name","Standard Class","Domain","Vocab","Validity","Concept"
1304107,282388,"imatinib","Ingredient","Drug","RxNorm","Valid","Standard"
1358436,475342,"dasatinib","Ingredient","Drug","RxNorm","Valid","Standard"
1358463,643173,"dasatinib 20 MG Oral Tablet [Sprycel]","Branded Drug","Drug","RxNorm","Valid","Standard"
1358464,643175,"dasatinib 50 MG Oral Tablet [Sprycel]","Branded Drug","Drug","RxNorm","Valid","Standard"
1358465,643177,"dasatinib 70 MG Oral Tablet [Sprycel]","Branded Drug","Drug","RxNorm","Valid","Standard"
1359548,480167,"lapatinib","Ingredient","Drug","RxNorm","Valid","Standard"
1359549,672147,"lapatinib 250 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
1359550,672149,"lapatinib 250 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
1359551,672152,"lapatinib 250 MG Oral Tablet [Tykerb]","Branded Drug","Drug","RxNorm","Valid","Standard"
19004115,576514,"imatinib 400 MG [Gleevec]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
19071340,284206,"imatinib 100 MG Oral Capsule","Clinical Drug","Drug","RxNorm","Valid","Standard"
19071511,284590,"imatinib 100 MG Oral Capsule [Gleevec]","Branded Drug","Drug","RxNorm","Valid","Standard"
19087449,331600,"imatinib 100 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
19091138,643171,"dasatinib 20 MG [Sprycel]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
19091139,643174,"dasatinib 50 MG [Sprycel]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
19091140,643176,"dasatinib 70 MG [Sprycel]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
19091181,799829,"dasatinib 100 MG [Sprycel]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
19102501,403878,"imatinib 100 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
19102502,403879,"imatinib 400 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
19102832,404588,"imatinib 100 MG Oral Tablet [Gleevec]","Branded Drug","Drug","RxNorm","Valid","Standard"
19102833,404589,"imatinib 400 MG Oral Tablet [Gleevec]","Branded Drug","Drug","RxNorm","Valid","Standard"
19103075,406051,"imatinib 400 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
19103655,411240,"imatinib 50 MG Oral Capsule","Clinical Drug","Drug","RxNorm","Valid","Standard"
19110304,440549,"imatinib 50 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
19112669,483431,"imatinib 400 MG Oral Capsule","Clinical Drug","Drug","RxNorm","Valid","Standard"
19120748,575017,"imatinib 100 MG [Gleevec]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
19124389,643103,"dasatinib 20 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
19124390,643105,"dasatinib 20 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
19124391,643106,"dasatinib 50 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
19124392,643107,"dasatinib 50 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
19124393,643108,"dasatinib 70 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
19124394,643109,"dasatinib 70 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
19125317,672150,"lapatinib 250 MG [Tykerb]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
19130457,799046,"dasatinib 100 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
19130458,799047,"dasatinib 100 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
19130483,799830,"dasatinib 100 MG Oral Tablet [Sprycel]","Branded Drug","Drug","RxNorm","Valid","Standard"
40056567,376335,"imatinib Oral Capsule","Clinical Drug Form","Drug","RxNorm","Valid","Standard"
40056568,366602,"imatinib Oral Capsule [Gleevec]","Branded Drug Form","Drug","RxNorm","Valid","Standard"
40056569,406050,"imatinib Oral Tablet","Clinical Drug Form","Drug","RxNorm","Valid","Standard"
40056570,406060,"imatinib Oral Tablet [Gleevec]","Branded Drug Form","Drug","RxNorm","Valid","Standard"
40134728,643104,"dasatinib Oral Tablet","Clinical Drug Form","Drug","RxNorm","Valid","Standard"
40134729,643172,"dasatinib Oral Tablet [Sprycel]","Branded Drug Form","Drug","RxNorm","Valid","Standard"
40137328,672148,"lapatinib Oral Tablet","Clinical Drug Form","Drug","RxNorm","Valid","Standard"
40137329,672151,"lapatinib Oral Tablet [Tykerb]","Branded Drug Form","Drug","RxNorm","Valid","Standard"
40230574,1045401,"dasatinib 140 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
40230575,1045402,"dasatinib 140 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
40230576,1045404,"dasatinib 140 MG Oral Tablet [Sprycel]","Branded Drug","Drug","RxNorm","Valid","Standard"
40230577,1045403,"dasatinib 140 MG [Sprycel]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
40230578,1045405,"dasatinib 80 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
40230579,1045406,"dasatinib 80 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
40230580,1045408,"dasatinib 80 MG Oral Tablet [Sprycel]","Branded Drug","Drug","RxNorm","Valid","Standard"
40230581,1045407,"dasatinib 80 MG [Sprycel]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
42705849,1243000,"axitinib 1 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
42705850,1243003,"axitinib Oral Tablet","Clinical Drug Form","Drug","RxNorm","Valid","Standard"
42705852,1243006,"axitinib 1 MG [Inlyta]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
42705853,1243007,"axitinib Oral Tablet [Inlyta]","Branded Drug Form","Drug","RxNorm","Valid","Standard"
42705854,1243011,"axitinib 5 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
42705855,1243013,"axitinib 5 MG [Inlyta]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
42708082,1243004,"axitinib 1 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
